timestamp, temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], pstate, power.draw [W], utilization.gpu [%], memory.used [MiB]
2026/09/19 13:12:39.901, 49, 405 MHz, 405 MHz, P8, 20.78 W, 37 %, 407 MiB
2026/09/19 13:12:40.911, 50, 2805 MHz, 10251 MHz, P2, 33.99 W, 6 %, 1508 MiB
2026/09/19 13:12:41.911, 50, 2805 MHz, 10251 MHz, P2, 54.40 W, 22 %, 3596 MiB
2026/09/19 13:12:42.912, 50, 2625 MHz, 10251 MHz, P2, 49.76 W, 20 %, 5662 MiB
2026/09/19 13:12:43.912, 50, 2625 MHz, 10251 MHz, P2, 45.51 W, 23 %, 7657 MiB
2026/09/19 13:12:44.912, 64, 2835 MHz, 10251 MHz, P2, 112.54 W, 99 %, 8957 MiB
2026/09/19 13:12:45.912, 67, 2835 MHz, 10251 MHz, P2, 250.74 W, 100 %, 8958 MiB
2026/09/19 13:12:46.912, 69, 2835 MHz, 10251 MHz, P2, 252.41 W, 100 %, 8959 MiB
2026/09/19 13:12:47.912, 68, 2835 MHz, 10251 MHz, P2, 252.18 W, 100 %, 8958 MiB
2026/09/19 13:12:48.913, 70, 2820 MHz, 10251 MHz, P2, 254.15 W, 100 %, 8958 MiB
2026/09/19 13:12:49.913, 69, 2790 MHz, 10251 MHz, P2, 255.35 W, 100 %, 8958 MiB
2026/09/19 13:12:50.913, 70, 2775 MHz, 10251 MHz, P2, 255.94 W, 100 %, 8959 MiB
2026/09/19 13:12:51.913, 71, 2820 MHz, 10251 MHz, P2, 257.12 W, 99 %, 8958 MiB
2026/09/19 13:12:52.913, 67, 2835 MHz, 10251 MHz, P2, 241.03 W, 100 %, 8966 MiB
2026/09/19 13:12:53.913, 67, 2835 MHz, 10251 MHz, P2, 225.39 W, 100 %, 8966 MiB
2026/09/19 13:12:54.913, 68, 2835 MHz, 10251 MHz, P2, 227.01 W, 100 %, 8967 MiB
2026/09/19 13:12:55.913, 68, 2835 MHz, 10251 MHz, P2, 226.64 W, 100 %, 8966 MiB
2026/09/19 13:12:56.914, 69, 2835 MHz, 10251 MHz, P2, 230.95 W, 100 %, 8966 MiB
2026/09/19 13:12:57.914, 71, 2820 MHz, 10251 MHz, P2, 252.84 W, 100 %, 8966 MiB
2026/09/19 13:12:58.914, 72, 2820 MHz, 10251 MHz, P2, 253.45 W, 100 %, 8967 MiB
2026/09/19 13:12:59.914, 73, 2820 MHz, 10251 MHz, P2, 254.29 W, 100 %, 8966 MiB
2026/09/19 13:13:00.914, 71, 2820 MHz, 10251 MHz, P2, 256.29 W, 100 %, 8966 MiB
2026/09/19 13:13:01.914, 72, 2805 MHz, 10251 MHz, P2, 257.15 W, 100 %, 8966 MiB
2026/09/19 13:13:02.914, 72, 2790 MHz, 10251 MHz, P2, 258.50 W, 100 %, 8967 MiB
2026/09/19 13:13:03.917, 72, 2820 MHz, 10251 MHz, P2, 258.61 W, 100 %, 8966 MiB
2026/09/19 13:13:04.917, 70, 2820 MHz, 10251 MHz, P2, 255.04 W, 99 %, 8966 MiB
2026/09/19 13:13:05.917, 69, 2820 MHz, 10251 MHz, P2, 221.14 W, 100 %, 8967 MiB
2026/09/19 13:13:06.918, 69, 2820 MHz, 10251 MHz, P2, 227.98 W, 100 %, 8967 MiB
2026/09/19 13:13:07.918, 69, 2820 MHz, 10251 MHz, P2, 227.94 W, 100 %, 8966 MiB
2026/09/19 13:13:08.918, 69, 2820 MHz, 10251 MHz, P2, 221.99 W, 92 %, 431 MiB
2026/09/19 13:13:09.918, 56, 2850 MHz, 10251 MHz, P2, 72.88 W, 57 %, 2035 MiB
