timestamp, temperature.gpu, clocks.current.sm [MHz], power.draw [W], utilization.gpu [%], memory.used [MiB]
2026/09/19 13:08:01.320, 48, 210 MHz, 18.05 W, 6 %, 461 MiB
2026/09/19 13:08:02.332, 49, 2625 MHz, 29.17 W, 0 %, 1697 MiB
2026/09/19 13:08:03.332, 49, 2625 MHz, 43.86 W, 22 %, 3692 MiB
2026/09/19 13:08:04.332, 49, 2625 MHz, 44.98 W, 20 %, 5672 MiB
2026/09/19 13:08:05.332, 49, 2625 MHz, 45.09 W, 22 %, 7770 MiB
2026/09/19 13:08:06.332, 64, 2835 MHz, 109.25 W, 100 %, 8973 MiB
2026/09/19 13:08:07.333, 67, 2835 MHz, 258.02 W, 100 %, 8973 MiB
2026/09/19 13:08:08.333, 68, 2835 MHz, 257.81 W, 100 %, 8954 MiB
2026/09/19 13:08:09.333, 68, 2835 MHz, 245.43 W, 100 %, 9070 MiB
2026/09/19 13:08:10.333, 70, 2835 MHz, 269.25 W, 100 %, 9064 MiB
2026/09/19 13:08:11.333, 71, 2835 MHz, 280.43 W, 100 %, 9052 MiB
2026/09/19 13:08:12.333, 69, 2835 MHz, 253.46 W, 100 %, 9077 MiB
2026/09/19 13:08:13.333, 70, 2835 MHz, 258.79 W, 100 %, 9074 MiB
2026/09/19 13:08:14.334, 70, 2835 MHz, 260.33 W, 100 %, 9062 MiB
2026/09/19 13:08:15.334, 69, 2835 MHz, 245.68 W, 100 %, 9056 MiB
2026/09/19 13:08:16.334, 70, 2835 MHz, 261.16 W, 100 %, 9056 MiB
2026/09/19 13:08:17.334, 71, 2835 MHz, 259.53 W, 100 %, 9092 MiB
2026/09/19 13:08:18.334, 71, 2835 MHz, 257.44 W, 100 %, 9149 MiB
2026/09/19 13:08:19.334, 72, 2820 MHz, 273.41 W, 100 %, 9124 MiB
2026/09/19 13:08:20.334, 72, 2820 MHz, 274.00 W, 100 %, 9107 MiB
2026/09/19 13:08:21.334, 72, 2820 MHz, 259.40 W, 100 %, 9106 MiB
2026/09/19 13:08:22.335, 73, 2820 MHz, 277.85 W, 100 %, 9106 MiB
2026/09/19 13:08:23.335, 73, 2820 MHz, 274.73 W, 100 %, 9114 MiB
2026/09/19 13:08:24.335, 73, 2820 MHz, 269.00 W, 100 %, 9107 MiB
2026/09/19 13:08:25.335, 73, 2820 MHz, 270.79 W, 100 %, 9116 MiB
2026/09/19 13:08:26.335, 72, 2820 MHz, 248.86 W, 100 %, 9125 MiB
