timestamp, temperature.gpu, clocks.current.sm [MHz], power.draw [W], utilization.gpu [%], memory.used [MiB]
2026/09/19 10:29:19.333, 45, 405 MHz, 18.46 W, 45 %, 1084 MiB
2026/09/19 10:29:20.347, 46, 2625 MHz, 31.86 W, 5 %, 2390 MiB
2026/09/19 10:29:21.347, 46, 2625 MHz, 43.15 W, 21 %, 4522 MiB
2026/09/19 10:29:22.347, 46, 2625 MHz, 42.94 W, 23 %, 6646 MiB
2026/09/19 10:29:23.347, 46, 2625 MHz, 42.74 W, 23 %, 9632 MiB
2026/09/19 10:29:24.347, 62, 2850 MHz, 155.89 W, 100 %, 9632 MiB
2026/09/19 10:29:25.347, 64, 2835 MHz, 250.73 W, 100 %, 9632 MiB
2026/09/19 10:29:26.348, 65, 2835 MHz, 251.67 W, 100 %, 9632 MiB
2026/09/19 10:29:27.348, 65, 2835 MHz, 238.60 W, 100 %, 9632 MiB
2026/09/19 10:29:28.348, 66, 2835 MHz, 253.04 W, 100 %, 9632 MiB
2026/09/19 10:29:29.348, 66, 2835 MHz, 252.31 W, 100 %, 9632 MiB
2026/09/19 10:29:30.348, 64, 2835 MHz, 237.83 W, 100 %, 9632 MiB
2026/09/19 10:29:31.348, 67, 2835 MHz, 254.04 W, 100 %, 9632 MiB
2026/09/19 10:29:32.348, 67, 2835 MHz, 253.83 W, 100 %, 9632 MiB
2026/09/19 10:29:33.349, 63, 2835 MHz, 245.45 W, 99 %, 9632 MiB
2026/09/19 10:29:34.349, 67, 2835 MHz, 241.56 W, 100 %, 9632 MiB
2026/09/19 10:29:35.349, 68, 2835 MHz, 253.94 W, 100 %, 9632 MiB
2026/09/19 10:29:36.349, 67, 2820 MHz, 252.50 W, 100 %, 9632 MiB
2026/09/19 10:29:37.349, 68, 2835 MHz, 240.68 W, 100 %, 9632 MiB
2026/09/19 10:29:38.349, 68, 2835 MHz, 254.79 W, 100 %, 9632 MiB
2026/09/19 10:29:39.349, 68, 2835 MHz, 253.54 W, 100 %, 9632 MiB
2026/09/19 10:29:40.349, 68, 2835 MHz, 240.90 W, 100 %, 9632 MiB
2026/09/19 10:29:41.350, 68, 2835 MHz, 254.89 W, 100 %, 9632 MiB
2026/09/19 10:29:42.350, 68, 2835 MHz, 253.25 W, 100 %, 9632 MiB
2026/09/19 10:29:43.350, 68, 2835 MHz, 251.25 W, 100 %, 9632 MiB
2026/09/19 10:29:44.350, 70, 2805 MHz, 251.43 W, 99 %, 9632 MiB
2026/09/19 10:29:45.350, 67, 2835 MHz, 235.91 W, 100 %, 9632 MiB
2026/09/19 10:29:46.350, 67, 2835 MHz, 235.46 W, 100 %, 9632 MiB
2026/09/19 10:29:47.350, 67, 2835 MHz, 235.53 W, 100 %, 9632 MiB
2026/09/19 10:29:48.351, 67, 2835 MHz, 235.34 W, 100 %, 9632 MiB
2026/09/19 10:29:49.351, 69, 2835 MHz, 245.91 W, 100 %, 9632 MiB
2026/09/19 10:29:50.351, 69, 2835 MHz, 251.12 W, 100 %, 9632 MiB
2026/09/19 10:29:51.351, 67, 2835 MHz, 233.31 W, 100 %, 9632 MiB
2026/09/19 10:29:52.351, 67, 2835 MHz, 235.64 W, 100 %, 9632 MiB
2026/09/19 10:29:53.351, 67, 2835 MHz, 235.55 W, 100 %, 9632 MiB
2026/09/19 10:29:54.351, 67, 2835 MHz, 235.78 W, 100 %, 9632 MiB
2026/09/19 10:29:55.352, 69, 2835 MHz, 250.04 W, 100 %, 9632 MiB
2026/09/19 10:29:56.352, 69, 2835 MHz, 251.37 W, 100 %, 9632 MiB
2026/09/19 10:29:57.352, 67, 2835 MHz, 229.45 W, 100 %, 9632 MiB
2026/09/19 10:29:58.352, 67, 2835 MHz, 236.08 W, 100 %, 9632 MiB
2026/09/19 10:29:59.352, 67, 2835 MHz, 235.96 W, 100 %, 9632 MiB
2026/09/19 10:30:00.352, 68, 2835 MHz, 237.80 W, 100 %, 9632 MiB
2026/09/19 10:30:01.352, 70, 2835 MHz, 252.12 W, 100 %, 9632 MiB
2026/09/19 10:30:02.353, 64, 2835 MHz, 241.12 W, 100 %, 9632 MiB
2026/09/19 10:30:03.353, 67, 2835 MHz, 229.49 W, 100 %, 9632 MiB
2026/09/19 10:30:04.353, 68, 2835 MHz, 235.96 W, 100 %, 9632 MiB
2026/09/19 10:30:05.353, 68, 2835 MHz, 235.97 W, 100 %, 9632 MiB
2026/09/19 10:30:06.353, 69, 2835 MHz, 241.67 W, 100 %, 9632 MiB
2026/09/19 10:30:07.353, 71, 2835 MHz, 252.40 W, 99 %, 9632 MiB
2026/09/19 10:30:08.353, 68, 2835 MHz, 236.52 W, 100 %, 9632 MiB
2026/09/19 10:30:09.354, 68, 2835 MHz, 236.28 W, 100 %, 9632 MiB
2026/09/19 10:30:10.354, 68, 2835 MHz, 236.23 W, 100 %, 9632 MiB
2026/09/19 10:30:11.354, 68, 2835 MHz, 236.33 W, 100 %, 9632 MiB
2026/09/19 10:30:12.354, 70, 2835 MHz, 246.40 W, 100 %, 9632 MiB
2026/09/19 10:30:13.354, 70, 2805 MHz, 252.21 W, 100 %, 9632 MiB
2026/09/19 10:30:14.354, 68, 2835 MHz, 232.88 W, 100 %, 9632 MiB
2026/09/19 10:30:15.354, 68, 2835 MHz, 236.31 W, 100 %, 9632 MiB
2026/09/19 10:30:16.355, 68, 2835 MHz, 236.44 W, 100 %, 9632 MiB
2026/09/19 10:30:17.355, 68, 2835 MHz, 236.59 W, 100 %, 9632 MiB
2026/09/19 10:30:18.355, 70, 2820 MHz, 249.32 W, 100 %, 9632 MiB
2026/09/19 10:30:19.355, 71, 2835 MHz, 251.28 W, 100 %, 9632 MiB
2026/09/19 10:30:20.355, 70, 2820 MHz, 253.88 W, 100 %, 9632 MiB
2026/09/19 10:30:21.355, 70, 2835 MHz, 255.39 W, 100 %, 9632 MiB
2026/09/19 10:30:22.355, 70, 2790 MHz, 255.40 W, 99 %, 9632 MiB
2026/09/19 10:30:23.356, 70, 2820 MHz, 256.40 W, 100 %, 9632 MiB
2026/09/19 10:30:24.356, 72, 2775 MHz, 255.60 W, 100 %, 9632 MiB
2026/09/19 10:30:25.356, 71, 2775 MHz, 257.99 W, 100 %, 9632 MiB
2026/09/19 10:30:26.356, 68, 2835 MHz, 228.77 W, 100 %, 9632 MiB
2026/09/19 10:30:27.356, 68, 2835 MHz, 225.97 W, 100 %, 9632 MiB
2026/09/19 10:30:28.356, 68, 2835 MHz, 225.97 W, 100 %, 9632 MiB
2026/09/19 10:30:29.356, 68, 2835 MHz, 225.87 W, 100 %, 9632 MiB
