timestamp, memory.used [MiB], utilization.gpu [%], temperature.gpu, clocks.current.sm [MHz], power.draw [W]
2026/09/19 13:38:17.820, 557 MiB, 37 %, 46, 345 MHz, 19.72 W
2026/09/19 13:38:18.831, 1693 MiB, 5 %, 47, 2850 MHz, 34.41 W
2026/09/19 13:38:19.831, 3804 MiB, 23 %, 48, 2850 MHz, 56.59 W
2026/09/19 13:38:20.831, 5916 MiB, 23 %, 47, 2625 MHz, 50.24 W
2026/09/19 13:38:21.831, 8016 MiB, 20 %, 47, 2625 MHz, 44.50 W
2026/09/19 13:38:22.831, 9116 MiB, 100 %, 63, 2835 MHz, 125.90 W
2026/09/19 13:38:23.831, 9116 MiB, 100 %, 65, 2835 MHz, 257.20 W
2026/09/19 13:38:24.832, 9116 MiB, 100 %, 66, 2835 MHz, 259.59 W
2026/09/19 13:38:25.832, 9116 MiB, 100 %, 66, 2835 MHz, 244.57 W
2026/09/19 13:38:26.832, 9116 MiB, 100 %, 67, 2835 MHz, 259.91 W
2026/09/19 13:38:27.832, 9116 MiB, 100 %, 67, 2835 MHz, 258.16 W
2026/09/19 13:38:28.832, 9116 MiB, 99 %, 67, 2835 MHz, 254.25 W
2026/09/19 13:38:29.832, 9116 MiB, 100 %, 68, 2835 MHz, 252.41 W
2026/09/19 13:38:30.832, 9116 MiB, 96 %, 63, 2835 MHz, 238.04 W
2026/09/19 13:38:31.833, 9116 MiB, 100 %, 67, 2835 MHz, 239.86 W
2026/09/19 13:38:32.833, 9116 MiB, 100 %, 67, 2835 MHz, 241.10 W
2026/09/19 13:38:33.833, 9116 MiB, 100 %, 67, 2835 MHz, 241.17 W
2026/09/19 13:38:34.833, 9116 MiB, 100 %, 69, 2835 MHz, 248.22 W
2026/09/19 13:38:35.833, 9116 MiB, 100 %, 69, 2835 MHz, 252.22 W
2026/09/19 13:38:36.833, 9116 MiB, 100 %, 68, 2835 MHz, 234.77 W
2026/09/19 13:38:37.833, 9116 MiB, 100 %, 68, 2835 MHz, 241.49 W
2026/09/19 13:38:38.833, 9116 MiB, 100 %, 67, 2835 MHz, 241.34 W
2026/09/19 13:38:39.834, 9116 MiB, 100 %, 67, 2835 MHz, 240.35 W
2026/09/19 13:38:40.834, 9116 MiB, 100 %, 69, 2835 MHz, 252.35 W
2026/09/19 13:38:41.834, 9116 MiB, 99 %, 70, 2820 MHz, 252.20 W
2026/09/19 13:38:42.834, 9116 MiB, 100 %, 70, 2820 MHz, 254.35 W
2026/09/19 13:38:43.834, 9116 MiB, 99 %, 70, 2820 MHz, 255.47 W
2026/09/19 13:38:44.834, 9116 MiB, 100 %, 72, 2820 MHz, 255.02 W
2026/09/19 13:38:45.834, 9116 MiB, 100 %, 71, 2820 MHz, 257.61 W
2026/09/19 13:38:46.834, 9116 MiB, 100 %, 72, 2820 MHz, 258.41 W
2026/09/19 13:38:47.835, 9116 MiB, 100 %, 73, 2820 MHz, 258.81 W
2026/09/19 13:38:48.835, 9116 MiB, 100 %, 68, 2835 MHz, 228.38 W
2026/09/19 13:38:49.835, 9116 MiB, 100 %, 68, 2835 MHz, 230.93 W
2026/09/19 13:38:50.835, 9116 MiB, 100 %, 68, 2835 MHz, 230.82 W
2026/09/19 13:38:51.835, 9116 MiB, 90 %, 68, 2835 MHz, 229.26 W
2026/09/19 13:38:52.835, 9116 MiB, 100 %, 71, 2820 MHz, 250.08 W
2026/09/19 13:38:53.835, 9116 MiB, 100 %, 72, 2820 MHz, 252.99 W
2026/09/19 13:38:54.836, 9116 MiB, 100 %, 71, 2820 MHz, 253.83 W
2026/09/19 13:38:55.836, 9116 MiB, 100 %, 71, 2820 MHz, 255.60 W
2026/09/19 13:38:56.836, 9116 MiB, 100 %, 71, 2820 MHz, 255.48 W
2026/09/19 13:38:57.836, 9116 MiB, 100 %, 71, 2775 MHz, 258.25 W
2026/09/19 13:38:58.836, 9116 MiB, 100 %, 73, 2820 MHz, 257.65 W
2026/09/19 13:38:59.836, 9116 MiB, 100 %, 72, 2760 MHz, 258.56 W
2026/09/19 13:39:00.836, 9116 MiB, 100 %, 69, 2820 MHz, 229.69 W
2026/09/19 13:39:01.837, 9118 MiB, 100 %, 69, 2820 MHz, 231.34 W
2026/09/19 13:39:02.837, 9118 MiB, 100 %, 69, 2820 MHz, 231.57 W
2026/09/19 13:39:03.837, 560 MiB, 100 %, 69, 2820 MHz, 231.18 W
2026/09/19 13:39:04.837, 1868 MiB, 5 %, 55, 2850 MHz, 90.52 W
2026/09/19 13:39:05.837, 3999 MiB, 22 %, 54, 2625 MHz, 60.45 W
2026/09/19 13:39:06.837, 6123 MiB, 21 %, 53, 2625 MHz, 48.36 W
2026/09/19 13:39:07.838, 9109 MiB, 21 %, 52, 2625 MHz, 46.85 W
2026/09/19 13:39:08.838, 9116 MiB, 100 %, 68, 2835 MHz, 140.69 W
2026/09/19 13:39:09.838, 9116 MiB, 100 %, 70, 2820 MHz, 261.67 W
2026/09/19 13:39:10.838, 9116 MiB, 100 %, 70, 2820 MHz, 261.31 W
2026/09/19 13:39:11.838, 9116 MiB, 100 %, 70, 2820 MHz, 245.46 W
2026/09/19 13:39:12.838, 9116 MiB, 100 %, 71, 2820 MHz, 262.35 W
2026/09/19 13:39:13.838, 9116 MiB, 100 %, 71, 2820 MHz, 262.76 W
2026/09/19 13:39:14.839, 9116 MiB, 100 %, 72, 2790 MHz, 263.29 W
2026/09/19 13:39:15.839, 9116 MiB, 100 %, 73, 2760 MHz, 270.51 W
2026/09/19 13:39:16.839, 9116 MiB, 100 %, 70, 2820 MHz, 247.08 W
2026/09/19 13:39:17.839, 9116 MiB, 100 %, 70, 2820 MHz, 245.50 W
2026/09/19 13:39:18.839, 9116 MiB, 100 %, 70, 2820 MHz, 245.60 W
2026/09/19 13:39:19.839, 9116 MiB, 96 %, 71, 2820 MHz, 245.80 W
2026/09/19 13:39:20.839, 9116 MiB, 100 %, 73, 2790 MHz, 267.92 W
2026/09/19 13:39:21.840, 9116 MiB, 100 %, 68, 2820 MHz, 257.36 W
2026/09/19 13:39:22.840, 9116 MiB, 100 %, 70, 2820 MHz, 238.32 W
2026/09/19 13:39:23.840, 9116 MiB, 100 %, 70, 2820 MHz, 244.36 W
2026/09/19 13:39:24.840, 9116 MiB, 100 %, 70, 2820 MHz, 244.16 W
2026/09/19 13:39:25.840, 9116 MiB, 100 %, 73, 2805 MHz, 255.34 W
2026/09/19 13:39:26.840, 9116 MiB, 100 %, 73, 2790 MHz, 270.67 W
2026/09/19 13:39:27.840, 9116 MiB, 100 %, 73, 2715 MHz, 266.83 W
2026/09/19 13:39:28.840, 9116 MiB, 100 %, 73, 2760 MHz, 263.17 W
2026/09/19 13:39:29.841, 9116 MiB, 100 %, 74, 2715 MHz, 262.73 W
2026/09/19 13:39:30.841, 9116 MiB, 100 %, 74, 2730 MHz, 262.22 W
2026/09/19 13:39:31.841, 9116 MiB, 100 %, 73, 2745 MHz, 263.09 W
2026/09/19 13:39:32.841, 9116 MiB, 100 %, 68, 2820 MHz, 256.96 W
2026/09/19 13:39:33.841, 9116 MiB, 100 %, 71, 2820 MHz, 226.96 W
2026/09/19 13:39:34.841, 9116 MiB, 100 %, 70, 2820 MHz, 233.00 W
2026/09/19 13:39:35.841, 9118 MiB, 100 %, 70, 2820 MHz, 232.57 W
2026/09/19 13:39:36.842, 9118 MiB, 100 %, 72, 2820 MHz, 238.06 W
2026/09/19 13:39:37.842, 9117 MiB, 100 %, 74, 2760 MHz, 271.46 W
2026/09/19 13:39:38.842, 9117 MiB, 100 %, 74, 2715 MHz, 268.41 W
2026/09/19 13:39:39.842, 9116 MiB, 100 %, 73, 2685 MHz, 265.70 W
2026/09/19 13:39:40.842, 9116 MiB, 100 %, 74, 2670 MHz, 264.93 W
2026/09/19 13:39:41.842, 9116 MiB, 99 %, 73, 2745 MHz, 264.94 W
2026/09/19 13:39:42.842, 9116 MiB, 100 %, 75, 2715 MHz, 264.14 W
2026/09/19 13:39:43.843, 9116 MiB, 100 %, 74, 2670 MHz, 265.93 W
2026/09/19 13:39:44.843, 9116 MiB, 100 %, 71, 2820 MHz, 236.35 W
2026/09/19 13:39:45.843, 9116 MiB, 100 %, 71, 2820 MHz, 233.30 W
2026/09/19 13:39:46.843, 9116 MiB, 100 %, 70, 2820 MHz, 232.68 W
2026/09/19 13:39:47.843, 893 MiB, 100 %, 70, 2820 MHz, 232.37 W
2026/09/19 13:39:48.843, 1658 MiB, 5 %, 56, 2850 MHz, 104.34 W
2026/09/19 13:39:49.843, 3860 MiB, 21 %, 55, 2850 MHz, 61.05 W
2026/09/19 13:39:50.844, 5984 MiB, 23 %, 54, 2625 MHz, 51.12 W
2026/09/19 13:39:51.844, 7991 MiB, 21 %, 53, 2625 MHz, 46.94 W
2026/09/19 13:39:52.844, 9126 MiB, 100 %, 68, 2835 MHz, 117.65 W
2026/09/19 13:39:53.844, 9127 MiB, 100 %, 70, 2835 MHz, 259.70 W
2026/09/19 13:39:54.844, 9127 MiB, 100 %, 71, 2820 MHz, 261.57 W
2026/09/19 13:39:55.844, 9127 MiB, 100 %, 71, 2835 MHz, 247.71 W
2026/09/19 13:39:56.845, 9126 MiB, 100 %, 72, 2820 MHz, 263.16 W
2026/09/19 13:39:57.845, 9125 MiB, 100 %, 72, 2820 MHz, 263.09 W
2026/09/19 13:39:58.845, 9116 MiB, 100 %, 72, 2820 MHz, 262.83 W
