timestamp, memory.used [MiB], utilization.gpu [%], temperature.gpu, clocks.current.sm [MHz], power.draw [W]
2026/09/19 15:18:21.780, 678 MiB, 0 %, 44, 210 MHz, 16.51 W
2026/09/19 15:18:22.787, 1540 MiB, 0 %, 45, 2625 MHz, 34.99 W
2026/09/19 15:18:23.788, 3640 MiB, 66 %, 45, 2625 MHz, 41.33 W
2026/09/19 15:18:24.788, 8436 MiB, 27 %, 46, 2865 MHz, 51.67 W
2026/09/19 15:18:25.788, 8446 MiB, 100 %, 59, 2850 MHz, 185.76 W
2026/09/19 15:18:26.788, 8446 MiB, 99 %, 60, 2835 MHz, 216.75 W
2026/09/19 15:18:27.788, 8446 MiB, 99 %, 65, 2835 MHz, 231.28 W
2026/09/19 15:18:28.788, 8446 MiB, 100 %, 60, 2835 MHz, 231.28 W
2026/09/19 15:18:29.789, 8446 MiB, 100 %, 63, 2835 MHz, 204.14 W
2026/09/19 15:18:30.789, 8446 MiB, 99 %, 61, 2835 MHz, 241.91 W
2026/09/19 15:18:31.789, 8446 MiB, 99 %, 61, 2835 MHz, 201.34 W
2026/09/19 15:18:32.789, 8446 MiB, 100 %, 69, 2820 MHz, 266.38 W
2026/09/19 15:18:33.789, 8446 MiB, 99 %, 70, 2805 MHz, 281.52 W
2026/09/19 15:18:34.789, 8446 MiB, 100 %, 62, 2835 MHz, 239.65 W
2026/09/19 15:18:35.789, 8446 MiB, 99 %, 61, 2835 MHz, 187.12 W
2026/09/19 15:18:36.790, 8446 MiB, 99 %, 69, 2805 MHz, 243.15 W
2026/09/19 15:18:37.790, 8446 MiB, 99 %, 71, 2790 MHz, 281.88 W
2026/09/19 15:18:38.790, 8446 MiB, 99 %, 64, 2835 MHz, 262.89 W
2026/09/19 15:18:39.790, 8446 MiB, 100 %, 62, 2835 MHz, 187.90 W
2026/09/19 15:18:40.790, 880 MiB, 0 %, 53, 2850 MHz, 139.29 W
2026/09/19 15:18:41.796, 1540 MiB, 0 %, 51, 2850 MHz, 55.77 W
2026/09/19 15:18:42.796, 3872 MiB, 13 %, 50, 2850 MHz, 50.57 W
2026/09/19 15:18:43.796, 8446 MiB, 93 %, 55, 2850 MHz, 68.97 W
2026/09/19 15:18:44.796, 8446 MiB, 99 %, 63, 2835 MHz, 218.57 W
2026/09/19 15:18:45.797, 8446 MiB, 99 %, 64, 2835 MHz, 218.86 W
2026/09/19 15:18:46.797, 8446 MiB, 98 %, 69, 2760 MHz, 247.21 W
2026/09/19 15:18:47.797, 8446 MiB, 99 %, 63, 2835 MHz, 215.51 W
2026/09/19 15:18:48.797, 8446 MiB, 100 %, 70, 2760 MHz, 227.21 W
2026/09/19 15:18:49.797, 8446 MiB, 100 %, 63, 2835 MHz, 225.08 W
2026/09/19 15:18:50.797, 8446 MiB, 100 %, 69, 2790 MHz, 217.49 W
2026/09/19 15:18:51.797, 8446 MiB, 99 %, 71, 2700 MHz, 281.75 W
2026/09/19 15:18:52.798, 8446 MiB, 100 %, 71, 2640 MHz, 281.51 W
2026/09/19 15:18:53.798, 8446 MiB, 100 %, 63, 2835 MHz, 202.23 W
2026/09/19 15:18:54.798, 8446 MiB, 100 %, 67, 2820 MHz, 197.06 W
2026/09/19 15:18:55.798, 8446 MiB, 100 %, 71, 2700 MHz, 283.37 W
2026/09/19 15:18:56.798, 8446 MiB, 99 %, 72, 2700 MHz, 283.11 W
2026/09/19 15:18:57.798, 8446 MiB, 100 %, 64, 2835 MHz, 213.44 W
2026/09/19 15:18:58.799, 2836 MiB, 99 %, 63, 2835 MHz, 188.12 W
2026/09/19 15:18:59.799, 1540 MiB, 0 %, 53, 2850 MHz, 72.98 W
2026/09/19 15:19:00.799, 1540 MiB, 0 %, 52, 2625 MHz, 53.85 W
2026/09/19 15:19:01.799, 6462 MiB, 36 %, 52, 2850 MHz, 52.51 W
2026/09/19 15:19:02.799, 8446 MiB, 100 %, 64, 2835 MHz, 150.15 W
2026/09/19 15:19:03.800, 8446 MiB, 99 %, 65, 2835 MHz, 219.68 W
2026/09/19 15:19:04.800, 8446 MiB, 95 %, 65, 2820 MHz, 222.35 W
2026/09/19 15:19:05.800, 8446 MiB, 100 %, 65, 2820 MHz, 245.12 W
2026/09/19 15:19:06.800, 8446 MiB, 99 %, 64, 2820 MHz, 203.08 W
2026/09/19 15:19:07.800, 8446 MiB, 100 %, 66, 2820 MHz, 243.58 W
2026/09/19 15:19:08.800, 8446 MiB, 100 %, 64, 2820 MHz, 203.59 W
2026/09/19 15:19:09.800, 8446 MiB, 99 %, 72, 2730 MHz, 256.89 W
2026/09/19 15:19:10.801, 8446 MiB, 100 %, 73, 2715 MHz, 282.41 W
2026/09/19 15:19:11.801, 8446 MiB, 100 %, 65, 2820 MHz, 241.43 W
2026/09/19 15:19:12.801, 8446 MiB, 100 %, 64, 2820 MHz, 188.76 W
2026/09/19 15:19:13.801, 8446 MiB, 99 %, 73, 2745 MHz, 242.14 W
2026/09/19 15:19:14.801, 8446 MiB, 98 %, 74, 2715 MHz, 282.93 W
2026/09/19 15:19:15.802, 8446 MiB, 100 %, 66, 2820 MHz, 252.06 W
2026/09/19 15:19:16.802, 8446 MiB, 100 %, 65, 2820 MHz, 189.25 W
